antecedents;consequents;aisle_antecedents;aisle_consequents;support;confidence
Caesar Rules Dressing;Organic Tortilla Chips Blue Corn With Flax;salad dressing toppings;chips pretzels;0.0081625498250882;28.47%
Pearl Plastic Unscented Multipack;Organic Tortilla Chips Blue Corn With Flax;feminine care;chips pretzels;0.0088560998102264;28.63%
Honeycrisp Apple Wheat Beer;Organic Tortilla Chips Blue Corn With Flax;beers coolers;chips pretzels;0.006592535573017;27.88%
Gel Scar Treatment;Cherries Rainer Organic;first aid;fresh fruits;0.0081320641114557;30.44%
Brie Soft-Ripened Cheese Wheel;Organic Tortilla Chips Blue Corn With Flax;packaged cheese;chips pretzels;0.0070498212775038;31.55%
Deep Cleansing Nose/Face Combo Pore Strips;Cherries Rainer Organic;facial care;fresh fruits;0.0061352498685303;21.08%
Traditional Italian-Style Wedding Soup;Cherries Rainer Organic;soup broth bouillon;fresh fruits;0.0074156498410932;33.66%
Honey Cinnamon Almonds;Cherries Rainer Organic;nuts seeds dried fruit;fresh fruits;0.023428270926537;28.22%
Cherries Rainer Organic;Honey Cinnamon Almonds;fresh fruits;nuts seeds dried fruit;0.023428270926537;19.86%
Baby's Super Daily Liquid Vitamin D Drops;Cherries Rainer Organic;vitamins supplements;fresh fruits;0.0170415139205389;22.85%
Cherries Rainer Organic;Baby's Super Daily Liquid Vitamin D Drops;fresh fruits;vitamins supplements;0.0170415139205389;14.44%
White Wine & Garlic Sauces Skillet Shrimp Scampi;Cherries Rainer Organic;marinades meat preparation;fresh fruits;0.0076214284081122;23.31%
White Bean Chili Starter with Roasted New Mexico green chile;Cherries Rainer Organic;latino foods;fresh fruits;0.0069507427081983;21.93%
Coconut Shrimp;Cherries Rainer Organic;seafood counter;fresh fruits;0.0071031712763606;15.45%
Corn Tortillas Gluren Free;Cherries Rainer Organic;tortillas flat bread;fresh fruits;0.0085207569602694;22.78%
Italian Squash;Cherries Rainer Organic;fresh vegetables;fresh fruits;0.0135661425664398;32.10%
Cherries Rainer Organic;Italian Squash;fresh fruits;fresh vegetables;0.0135661425664398;11.50%
Hot Raw Hummus;Cherries Rainer Organic;preserved dips spreads;fresh fruits;0.0096639712214863;27.49%
Matches, Strike On Box, Large Kitchen;Cherries Rainer Organic;more household;fresh fruits;0.0061733570105709;28.84%
Organic Gluten Free Yellow Cornmeal;Cherries Rainer Organic;baking ingredients;fresh fruits;0.0086655641000236;22.90%
Cage Free White Omega 3 Eggs;Cherries Rainer Organic;eggs;fresh fruits;0.006249571294652;21.45%
Organic Black Sesame Seeds;Cherries Rainer Organic;spices seasonings;fresh fruits;0.0062876784366926;22.94%
Brewer's Yeast Powder;Cherries Rainer Organic;vitamins supplements;fresh fruits;0.0079339069728448;22.68%
Salmon Dinner Classic Pate Cat Food;Cherries Rainer Organic;cat food care;fresh fruits;0.0184438567476316;33.18%
Cherries Rainer Organic;Salmon Dinner Classic Pate Cat Food;fresh fruits;cat food care;0.0184438567476316;15.63%
Sauce, Duck, All Natural, Jar;Cherries Rainer Organic;asian foods;fresh fruits;0.0080558498273746;12.99%
Extra Crispy Tator Tots;Cherries Rainer Organic;frozen appetizers sides;fresh fruits;0.0081549283966801;14.44%
Sandies Toffee Shortbread Cookies;Organic Tortilla Chips Blue Corn With Flax;cookies cakes;chips pretzels;0.0148465425390026;30.00%
Organic Tortilla Chips Blue Corn With Flax;Sandies Toffee Shortbread Cookies;chips pretzels;cookies cakes;0.0148465425390026;10.40%
Baby's Super Daily Liquid Vitamin D Drops;Honey Cinnamon Almonds;vitamins supplements;nuts seeds dried fruit;0.0124915211608959;16.75%
Honey Cinnamon Almonds;Baby's Super Daily Liquid Vitamin D Drops;nuts seeds dried fruit;vitamins supplements;0.0124915211608959;15.04%
Honey Cinnamon Almonds;Organic Tortilla Chips Blue Corn With Flax;nuts seeds dried fruit;chips pretzels;0.016568985359236;19.96%
Organic Tortilla Chips Blue Corn With Flax;Honey Cinnamon Almonds;chips pretzels;nuts seeds dried fruit;0.016568985359236;11.61%
Coconut Shrimp;Honey Cinnamon Almonds;seafood counter;nuts seeds dried fruit;0.0062267070094277;13.54%
Corn Tortillas Gluren Free;Honey Cinnamon Almonds;tortillas flat bread;nuts seeds dried fruit;0.007270842701339;19.44%
Honey Cinnamon Almonds;Corn Tortillas Gluren Free;nuts seeds dried fruit;tortillas flat bread;0.007270842701339;8.76%
Italian Squash;Honey Cinnamon Almonds;fresh vegetables;nuts seeds dried fruit;0.0127277854415474;30.11%
Honey Cinnamon Almonds;Italian Squash;nuts seeds dried fruit;fresh vegetables;0.0127277854415474;15.33%
Hot Raw Hummus;Honey Cinnamon Almonds;preserved dips spreads;nuts seeds dried fruit;0.0078653141171718;22.37%
Honey Cinnamon Almonds;Hot Raw Hummus;nuts seeds dried fruit;preserved dips spreads;0.0078653141171718;9.47%
Organic Gluten Free Yellow Cornmeal;Honey Cinnamon Almonds;baking ingredients;nuts seeds dried fruit;0.0096715926498944;25.55%
Honey Cinnamon Almonds;Organic Gluten Free Yellow Cornmeal;nuts seeds dried fruit;baking ingredients;0.0096715926498944;11.65%
Salmon Dinner Classic Pate Cat Food;Honey Cinnamon Almonds;cat food care;nuts seeds dried fruit;0.0117293783200847;21.10%
Honey Cinnamon Almonds;Salmon Dinner Classic Pate Cat Food;nuts seeds dried fruit;cat food care;0.0117293783200847;14.13%
Sauce, Duck, All Natural, Jar;Honey Cinnamon Almonds;asian foods;nuts seeds dried fruit;0.0077509926910501;12.50%
Honey Cinnamon Almonds;Sauce, Duck, All Natural, Jar;nuts seeds dried fruit;asian foods;0.0077509926910501;9.34%
Extra Crispy Tator Tots;Honey Cinnamon Almonds;frozen appetizers sides;nuts seeds dried fruit;0.0082921141080261;14.68%
Honey Cinnamon Almonds;Extra Crispy Tator Tots;nuts seeds dried fruit;frozen appetizers sides;0.0082921141080261;9.99%
Baby's Super Daily Liquid Vitamin D Drops;Organic Tortilla Chips Blue Corn With Flax;vitamins supplements;chips pretzels;0.0152428568162244;20.44%
